"","freq","p","mu_a","lambda_eff","N","beta_eff","mu_l","mu_h","mu_BB","mu_AB","mu_AA","species"
"1",0.5,0.1,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"2",0.5,0.118367346938776,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"3",0.5,0.136734693877551,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"4",0.5,0.155102040816327,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"5",0.5,0.173469387755102,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"6",0.5,0.191836734693878,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"7",0.5,0.210204081632653,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"8",0.5,0.228571428571429,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"9",0.5,0.246938775510204,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"10",0.5,0.26530612244898,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"11",0.5,0.283673469387755,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"12",0.5,0.302040816326531,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"13",0.5,0.320408163265306,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"14",0.5,0.338775510204082,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"15",0.5,0.357142857142857,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"16",0.5,0.375510204081633,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"17",0.5,0.393877551020408,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"18",0.5,0.412244897959184,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"19",0.5,0.430612244897959,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"20",0.5,0.448979591836735,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"21",0.5,0.46734693877551,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"22",0.5,0.485714285714286,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"23",0.5,0.504081632653061,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"24",0.5,0.522448979591837,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"25",0.5,0.540816326530612,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"26",0.5,0.559183673469388,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"27",0.5,0.577551020408163,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"28",0.5,0.595918367346939,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"29",0.5,0.614285714285714,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"30",0.5,0.63265306122449,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"31",0.5,0.651020408163265,0.00273972602739726,10000,0.000123,0.00010958904109589,0.0164383561643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
